kinetics example 1: constant-pressure ignition,
time (s),Temperature (K),Density (kg/m3),Pressure (Pa),H2,H,O,O2,OH,H2O,HO2,H2O2,C,CH,CH2,CH2(S),CH3,CH4,CO,CO2,HCO,CH2O,CH2OH,CH3O,CH3OH,C2H,C2H2,C2H3,C2H4,C2H5,C2H6,HCCO,CH2CO,HCCOH,N,NH,NH2,NH3,NNH,NO,NO2,N2O,HNO,CN,HCN,H2CN,HCNN,HCNO,HOCN,HNCO,NCO,N2,AR,C3H7,C3H8,CH2CHO,CH3CHO,
0,1001,0.257549,101325,0.285714,0,0,0.142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.571429,0,0,0,0,0,
1e-05,1001,0.257549,101325,0.285714,3.17862e-10,3.13093e-11,0.142857,1.0686e-11,2.14233e-10,4.83708e-10,4.76524e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.87262e-25,6.36401e-24,2.70258e-25,1.13985e-25,1.05436e-16,1.44368e-23,4.29597e-31,1.37437e-17,3.2141e-25,0,0,0,0,0,0,0,0,0.571429,0,0,0,0,0,
2e-05,1001,0.257549,101325,0.285714,7.98803e-10,8.4295e-11,0.142857,2.80523e-11,1.06628e-09,1.42047e-09,2.51383e-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.9567e-24,6.63734e-23,4.17169e-24,3.529e-24,2.64996e-16,1.50195e-22,2.28864e-29,7.14872e-17,4.95878e-24,0,0,0,0,0,0,0,0,0.571429,0,0,0,0,0,
3e-05,1001,0.257549,101325,0.285714,1.54163e-09,1.66128e-10,0.142857,5.48746e-11,2.90721e-09,3.05532e-09,7.38489e-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0001e-24,3.02023e-22,2.20621e-23,2.70557e-23,5.1144e-16,7.26463e-22,3.1772e-28,1.9798e-16,2.62173e-23,0,0,0,0,0,0,0,0,0.571429,0,0,0,0,0,
4e-05,1001,0.257549,101325,0.285714,2.68935e-09,2.9256e-10,0.142857,9.63177e-11,6.27568e-09,5.76808e-09,1.70536e-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07027e-23,1.01695e-21,7.98687e-23,1.2306e-22,8.92214e-16,2.59594e-21,2.5598e-27,4.30936e-16,9.48966e-23,0,0,0,0,0,0,0,0,0.571429,0,0,0,0,0,
5e-05,1001,0.257549,101325,0.285714,4.46314e-09,4.87956e-10,0.142857,1.60371e-10,1.20049e-08,1.01461e-08,3.45555e-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.79731e-23,2.96411e-21,2.42104e-22,4.3272e-22,1.4807e-15,7.93284e-21,1.54983e-26,8.28683e-16,2.87631e-22,0,0,0,0,0,0,0,0,0.571429,0,0,0,0,0,
6e-05,1001,0.257549,101325,0.285714,7.20506e-09,7.8999e-10,0.142857,2.59394e-10,2.13832e-08,1.70973e-08,6.4585e-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.92239e-23,7.98784e-21,6.67382e-22,1.31661e-21,2.39037e-15,2.21401e-20,7.9101e-26,1.4814e-15,7.92834e-22,0,0,0,0,0,0,0,0,0.571429,0,0,0,0,0,
7e-05,1001,0.257549,101325,0.285714,1.14441e-08,1.25693e-09,0.142857,4.12507e-10,3.64035e-08,2.80254e-08,1.14409e-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.66669e-23,2.05673e-20,1.74192e-21,3.67149e-21,3.79674e-15,5.84486e-20,3.62212e-25,2.52854e-15,2.06927e-21,0,0,0,0,0,0,0,0,0.571429,0,0,0,0,0,
8e-05,1001,0.257549,101325,0.285714,1.79986e-08,1.97892e-09,0.142857,6.49313e-10,6.01487e-08,4.51004e-08,1.95287e-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.38269e-23,5.15224e-20,4.40029e-21,9.69504e-21,5.97131e-15,1.48983e-19,1.54528e-24,4.18575e-15,5.22701e-21,0,0,0,0,0,0,0,0,0.571429,0,0,0,0,0,
9e-05,1001,0.257549,101325,0.285714,2.8135e-08,3.09543e-09,0.142857,1.01567e-09,9.73904e-08,7.16767e-08,3.24697e-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.16545e-22,1.26899e-19,1.08946e-20,2.47251e-20,9.33423e-15,3.71323e-19,6.28959e-24,6.78661e-15,1.2941e-20,0,0,0,0,0,0,0,0,0.571429,0,0,0,0,0,
